x [mm];y [mm];x-displacement [mm];y-displacement [mm];Transverse strain Exx - GL [S];Axial strain Eyy - GL [S];Shear strain Exy - GL [S];Maximum normal strain - GL [S];Minimum normal strain - GL [S];Affine transformation a [];Affine transformation b [];Affine transformation c [];Affine transformation d [];Confidence region [pixel];Correlation value [count];Enough pixels valid [];Number of iterations [];Vector status []
882.531;1618.06;0.20741;1.39623;0.00117478;0.00219762;0.000766301;0.00260749;0.000764918;1.00241;0.000635116;-0.00794348;1.00246;0.0283263;0.969763;1;3;1
905.531;1618.06;0.226516;1.68671;0.00406925;-0.00303654;0.00143018;0.0043463;-0.00331359;1.0026;0.00548313;-0.010599;1.00486;0.0353621;0.971009;1;2;1
928.531;1618.06;0.392904;1.74437;0.0032245;0.00322081;0.00034826;0.00357092;0.00287439;1.00143;0.010774;-0.00448019;0.99732;0.0327912;0.967767;1;3;1
951.531;1618.06;0.373288;2.03524;0.0029049;0.0033453;0.00102432;0.00417282;0.00207738;0.996466;0.00741104;-0.0143262;1.00601;0.0249334;0.98891;1;3;1
974.531;1618.06;0.523253;2.27772;0.000418805;-0.00526296;0.00232061;0.00124615;-0.0060903;1.01627;0.0128047;-0.00755656;1.01073;0.0295231;0.97753;1;3;1
997.531;1618.06;0.390574;2.46165;-0.00370672;0.00315277;0.00126543;0.00337877;-0.00393272;0.998692;-0.00324781;-0.0117548;0.995937;0.0274011;0.981703;1;2;1
1020.53;1618.06;0.350333;2.71581;-0.000804458;0.00157721;0.00220845;0.00289543;-0.00212267;0.999369;0.00318012;-0.00765978;0.995816;0.0264154;0.97518;1;2;1
1043.53;1618.06;0.35169;2.87555;0.0010805;0.00639049;0.00157481;0.00682241;0.000648578;1.00029;0.00163864;-0.0136273;1.00404;0.0243715;0.983085;1;3;1
1066.53;1618.06;0.398555;3.08165;0.00107512;-0.00459285;-0.00122237;0.0013275;-0.00484523;0.998123;0.0103877;-0.0061525;0.997391;0.0271211;0.976306;1;2;1
1089.53;1618.06;0.399382;3.27554;0.00164478;-0.00474379;0.00106951;0.00181907;-0.00491809;1.00159;0.0118088;-0.0102918;0.995057;0.0207412;0.990342;1;2;1
1112.53;1618.06;0.471855;3.54184;-6.60567e-05;0.00350977;-0.000672674;0.00363212;-0.000188411;0.997641;0.00772212;-0.00963405;1.00461;0.021877;0.988711;1;3;1
1135.53;1618.06;0.394307;3.70838;-0.00116413;-0.00609325;-0.00276223;7.31985e-05;-0.00733058;0.996251;0.0107953;-0.00410441;1.00606;0.0251619;0.983599;1;3;1
1158.53;1618.06;0.417266;3.84614;0.00133943;-0.00366335;-0.00231498;0.00224628;-0.0045702;1.00819;0.0103219;-0.00944727;0.999538;0.0218123;0.987754;1;3;1
1181.53;1618.06;0.454384;4.07946;0.00280302;-0.00412397;-0.000124586;0.00280526;-0.00412621;0.995497;0.0136616;-0.0117706;1.00198;0.0225656;0.983484;1;3;1
